WBAKS4101F0H64201,BR,Not Mapped,BR,0h64201.prod.v2@mailinator.com
98M8N9008G4A32094,KR,bmw.int.kr@mailinator.com,BR,4a32094.prod@mailinator.com
WBA2A5104FV236273,BR,v236273.int@mailinator.com,BR,v236273.prod@mailinator.com
WMWLN7105G2D92543,BR,2d92543.int@mailinator.com,BR,2D92543.prod@mailinator.com
98MCV6000K4A86345,BR,Not Mapped,BR,4A86345.prod@mailinator.com
98MCV6000L4A86489,BR,4A86489.int@mailinator.com,BR,frota@bmw.com.br
WBACR61050H014141,BR,Not Mapped,BR,Not Mapped
WBACR6103LLJ17060,BR,lj17060.int@mailinator.com,BR,lj17060.prod@mailinator.com
WBACV6104KLJ83420,BR,Not Mapped,BR,Not Mapped
WBACV6104LLK17972,BR,lk17972.int@mailinator.com,BR,frota@bmw.com.br
WBA7F0102GGJ35720,BR,Not Mapped,BR,bmwbr@mailinator.com
WBA7F0102HGJ43995,BR,gj43995.int@mailinator.com,FI,bmw.finland@mailinator.com
WBA5P5107MFJ03641,BR,h013840.int@mailinator.com,BR,fj03641.prod@mailinator.com
WBAJA5105HG453866,BR,Not Mapped,BR,G453866.prod@mailinator.com
WBACR6108LLJ17068,BR,lj17068.int.v3@mailinator.com,BR,Not Mapped
WBACR6109LLJ17063,BR,lj17063.int@mailinator.com,BR,lj17063.prod@mailinator.com
WBY21CF000HY03695,BR,hy03695.int@mailinator.com,BR,hy03695.prod@mailinator.com
WBA21BX030HY07232,BR,hy07232.int@mailinator.com,BR,Not Mapped
